"","Provider.ID","H_CLEAN_LINEAR_SCORE_mean","H_COMP_1_LINEAR_SCORE_mean","H_COMP_2_LINEAR_SCORE_mean","H_COMP_3_LINEAR_SCORE_mean","H_COMP_4_LINEAR_SCORE_mean","H_COMP_5_LINEAR_SCORE_mean","H_COMP_6_LINEAR_SCORE_mean","H_COMP_7_LINEAR_SCORE_mean","H_HSP_RATING_LINEAR_SCORE_mean","H_QUIET_LINEAR_SCORE_mean","H_RECMND_LINEAR_SCORE_mean"
"4622",520057,1.47753195625997,1.4483213632833,0.859592160168565,1.52965157372195,0.553270957476358,1.21748399771946,1.15170361434832,1.55779790504163,1.31344684396361,0.968546522133067,0.907556454351991
"4623",520059,0.441879405671034,-0.523545182706695,0.0411773690513626,-0.517491806615865,-0.219831818395808,-0.415225141486431,0.589670327969535,0.513111410894042,-1.14507194673836,-0.0097607625322927,-0.922555231710686
"4624",520062,0.700792543318268,1.0539480540853,0.450384764609964,0.619810071349588,0.553270957476358,1.45072816046316,0.308653684780141,0.861340242276572,0.698817146288113,0.968546522133067,0.907556454351991
"4625",520063,0.700792543318268,0.6595747448873,0.450384764609964,-0.0625710554296838,0.553270957476358,0.517751509488366,0.589670327969535,0.861340242276572,0.391502297450367,1.16420797906614,0.221264572078487
"4626",520066,0.441879405671034,0.265201435689302,0.0411773690513626,0.392349695756497,0.166719569540275,0.284507346744666,0.870686971158929,0.513111410894042,0.0841874486126208,0.381562151333851,-0.00749938867934737
"4627",520070,0.959705680965502,1.0539480540853,0.859592160168565,0.619810071349588,0.553270957476358,0.284507346744666,0.308653684780141,1.2095690736591,1.00613199512586,-0.205422219465365,1.36508437586766
"4628",520071,1.21861881861274,1.0539480540853,0.450384764609964,0.847270446942678,0.939822345412441,1.68397232320686,1.15170361434832,0.861340242276572,0.698817146288113,0.772885065199995,0.221264572078487
"4629",520075,1.21861881861274,0.6595747448873,0.450384764609964,0.392349695756497,0.553270957476358,0.517751509488366,0.589670327969535,0.513111410894042,0.391502297450367,0.968546522133067,0.678792493594156
"4630",520076,1.7364450939072,1.0539480540853,0.0411773690513626,1.30219119812886,0.166719569540275,2.15046064869426,0.589670327969535,0.164882579511512,-0.223127400225126,-0.0097607625322927,-0.693791270952851
"4631",520078,-0.0759468696234344,-0.129171873508697,-0.368030026507239,-0.0625710554296838,-0.992934594267974,0.0512631840009672,-0.253379601598648,-0.531575083253549,-0.530442249062872,-0.401083676398436,-0.465027310195017
"4632",520083,0.959705680965502,1.0539480540853,0.859592160168565,0.619810071349588,0.553270957476358,0.750995672232065,1.15170361434832,0.861340242276572,1.31344684396361,0.185900694400779,1.36508437586766
"4633",520087,0.700792543318268,0.6595747448873,0.450384764609964,0.164889320163407,0.553270957476358,1.21748399771946,1.15170361434832,0.861340242276572,1.31344684396361,0.577223608266923,1.36508437586766
"4634",520088,0.700792543318268,0.6595747448873,0.0411773690513626,0.164889320163407,0.553270957476358,0.984239834975764,1.43272025753772,0.164882579511512,0.391502297450367,1.16420797906614,0.221264572078487
"4635",520089,1.47753195625997,0.6595747448873,0.450384764609964,0.619810071349588,0.553270957476358,0.984239834975764,0.589670327969535,1.2095690736591,1.00613199512586,0.185900694400779,0.907556454351991
"4636",520091,-0.0759468696234344,0.6595747448873,0.0411773690513626,0.619810071349588,0.166719569540275,0.984239834975764,0.589670327969535,1.2095690736591,0.391502297450367,-0.596745133331508,0.450028532836322
"4637",520095,1.99535823155444,1.8426946724813,1.26879955572717,1.98457232490813,1.71292512128461,2.61694897418166,1.99475354391651,2.25425556780669,2.23539139047684,1.75119234986535,2.05137625814116
