"","Provider.ID","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_score"
"308",50084,1445,826,1345,1942,2419,1251,1952
"309",50089,NA,NA,2259,1670,2623,NA,NA
"310",50090,NA,NA,1984,2324,141,2088,NA
"311",50091,1514,NA,52,2529,39,NA,NA
"312",50093,1889,646,2195,66,481,2155,2062
"313",50096,NA,NA,NA,NA,NA,NA,NA
"314",50099,1103,2194,703,1453,2341,847,1674
"315",50100,697,2046,1040,1784,2019,1168,1710
"316",50101,1547,NA,164,75,413,2275,NA
"317",50102,1391,NA,2738,75,1233,2088,NA
"318",50103,256,NA,365,385,1113,530,803
"319",50104,2154,NA,14,723,548,2543,2037
"320",50107,737,2568,1523,1646,2437,1424,1614
"321",50108,1649,1316,1351,1817,2170,1453,1947
"322",50110,NA,NA,99,176,918,2275,NA
"323",50112,521,NA,557,1404,2381,130,1627
"324",50113,NA,NA,NA,NA,1577,NA,NA
"325",50115,885,1391,1017,1503,2075,1441,1728
"326",50116,1156,1959,723,1629,1940,877,1918
"327",50118,1934,NA,766,683,857,2464,NA
"328",50121,498,NA,1684,1693,2253,810,1982
"329",50122,2355,NA,530,2760,575,1769,898
"330",50124,2154,NA,557,413,1468,2497,NA
"331",50125,1075,2355,1589,2059,2723,1322,623
"332",50126,530,NA,630,1213,1427,256,1850
"333",50127,1215,NA,2370,2007,2760,1959,NA
"334",50128,1017,2288,1328,1319,2089,1233,1899
"335",50129,669,75,431,690,1128,2555,968
"336",50131,NA,NA,2105,267,930,2324,NA
"337",50132,2515,NA,690,1221,2147,2568,1874
"338",50133,1400,63,2042,2089,2607,1228,1833
"339",50135,2636,NA,1174,575,2051,2464,1468
"340",50136,2370,NA,27,365,1021,2404,NA
"341",50137,NA,NA,NA,NA,NA,NA,NA
"342",50138,NA,NA,NA,NA,NA,1514,NA
"343",50139,NA,NA,NA,NA,1514,NA,NA
"344",50140,1112,NA,NA,1215,1640,NA,NA
"345",50145,803,186,1334,1671,2657,1644,1378
"346",50149,1577,NA,1959,27,2529,2701,NA
"347",50150,2678,NA,1238,1066,2058,759,1346
"348",50152,1391,NA,488,2738,1316,108,1358
"349",50153,803,NA,759,1654,2250,646,1555
"350",50158,1959,NA,1640,186,690,1704,NA
"351",50159,1347,NA,2176,2464,348,2229,1641
"352",50167,1215,NA,1257,1882,2529,1640,NA
"353",50168,1240,1984,1053,1600,2365,1395,796
"354",50169,1322,NA,787,1594,2068,1192,586
"355",50174,1515,2594,1179,1897,2253,1616,1226
"356",50179,1693,1854,1113,1567,2183,176,1625
"357",50180,909,NA,1461,2144,2414,1697,626
"358",50189,NA,NA,1577,1167,2088,NA,NA
"359",50191,2543,1167,318,186,962,2404,1271
"360",50192,NA,NA,1640,NA,2582,NA,NA
"361",50194,1769,NA,63,630,1184,2690,NA
"362",50195,803,2418,1306,1802,2437,1156,1778
"363",50196,NA,NA,NA,NA,NA,NA,NA
"364",50197,2105,2370,2665,1506,1616,308,505
"365",50204,498,NA,1192,1265,1460,2387,1397
"366",50205,NA,NA,2088,1112,431,NA,NA
"367",50211,1934,NA,2760,431,1348,27,NA
"368",50222,277,2209,1416,2085,1988,955,1883
"369",50224,1362,423,1710,1790,302,2161,311
"370",50225,308,NA,395,1174,2394,423,637
"371",50226,2714,1577,891,1416,1521,2650,1129
"372",50228,2464,NA,2497,450,683,214,1209
"373",50230,2714,NA,2555,256,1562,1905,NA
"374",50231,539,1959,582,1348,1616,930,1213
"375",50232,1139,27,2714,810,1290,2738,980
"376",50234,NA,NA,1514,1854,2568,1431,NA
"377",50235,775,1347,1646,2144,2416,1716,1700
"378",50236,2650,NA,803,840,1404,87,1619
"379",50238,1082,2046,1526,1836,124,1468,334
"380",50239,1093,2404,1448,1958,2670,1093,773
"381",50242,1179,2370,995,1865,1976,1416,1136
"382",50243,1272,2063,891,1036,1366,1103,1915
"383",50245,1257,NA,1824,2714,205,2555,NA
"384",50248,NA,NA,2088,2063,2481,NA,NA
"385",50254,2432,NA,787,1265,2273,566,1881
"386",50257,NA,NA,1743,1547,1796,NA,NA
"387",50261,348,NA,1128,1000,1787,498,1408
"388",50262,737,14,2305,1075,1380,1557,1355
"389",50272,2246,NA,176,2665,1392,256,374
"390",50276,NA,NA,2288,2497,2760,NA,NA
"391",50278,108,NA,1021,1753,2095,800,2111
"392",50279,NA,NA,186,2678,640,NA,NA
"393",50280,1441,575,1441,2152,2245,1603,1528
"394",50281,1854,NA,39,2749,1809,1704,NA
"395",50283,205,1112,664,1416,2273,2568,1115
"396",50289,431,1610,669,1651,1855,557,513
"397",50290,834,2246,816,1460,2478,630,1375
"398",50291,506,2370,395,669,548,2690,1345
"399",50292,NA,NA,2432,2418,1,2370,1596
"400",50295,1984,NA,862,521,1589,299,1652
"401",50296,1547,NA,2063,2665,847,1514,NA
"402",50298,1769,NA,2529,39,75,1514,NA
"403",50300,857,1905,1209,1534,1242,548,791
"404",50301,1640,NA,2606,717,1048,119,NA
"405",50305,2176,NA,328,1063,1545,1060,1612
"406",50308,1017,2555,1345,1960,2685,1492,974
"407",50309,1667,NA,2009,1914,2618,1716,322
"408",50313,1984,NA,27,338,498,2275,NA
"409",50315,NA,NA,NA,NA,NA,NA,NA
"410",50320,1934,NA,2246,2305,2623,1743,2080
"411",50324,800,2555,471,1242,2005,1424,846
"412",50327,840,2529,2636,1385,1404,1060,1239
"413",50329,1640,NA,205,894,1404,2229,977
"414",50334,1302,2665,1302,1954,2145,1345,385
"415",50335,2497,NA,1075,1017,2167,557,506
"416",50336,471,NA,1302,1716,2281,357,1300
"417",50342,2529,NA,164,614,1479,214,NA
"418",50348,2432,1547,2275,512,993,852,1592
"419",50350,299,NA,365,1017,1453,2131,484
"420",50351,1228,NA,1151,1873,2406,1591,1878
"421",50352,NA,NA,1882,2404,308,NA,886
"422",50353,1075,2176,862,1759,2203,1151,2010
"423",50357,NA,NA,NA,1112,2305,NA,NA
"424",50359,2088,NA,235,164,1072,2063,NA
"425",50360,1093,1854,566,1460,2407,1348,1617
"426",50367,877,1391,1272,1435,1671,697,1341
"427",50373,1391,NA,NA,2176,2046,1905,1696
"428",50376,2088,NA,1167,1796,1934,1112,1481
"429",50378,NA,NA,2209,1984,2288,NA,NA
"430",50380,1151,2701,1242,2022,2309,1724,1819
"431",50382,900,2046,1484,1644,2145,1012,900
"432",50390,521,NA,1416,1021,1676,318,1470
"433",50393,365,NA,374,1066,1272,2497,NA
"434",50394,488,2229,759,1168,1776,862,1711
"435",50396,1095,2749,816,1800,2262,1771,1613
"436",50397,NA,NA,NA,NA,NA,NA,NA
"437",50407,1167,NA,450,63,750,1769,NA
"438",50411,NA,NA,NA,NA,NA,NA,NA
"439",50414,1547,NA,664,847,1348,63,1799
"440",50417,1882,NA,99,308,1758,2701,NA
"441",50423,NA,NA,1905,NA,2387,NA,NA
"442",50424,2678,1610,2275,1161,759,2594,605
"443",50425,NA,NA,1215,NA,1478,NA,NA
"444",50426,2568,NA,582,826,1833,2229,NA
"445",50434,NA,NA,1301,1854,63,NA,NA
"446",50438,1021,2046,1503,1815,2602,1518,1333
"447",50441,810,2568,365,1711,2279,1539,1400
"448",50444,385,NA,1770,1790,80,1063,904
"449",50454,431,2176,385,1319,1909,1045,315
"450",50455,606,1640,1086,1388,1585,1484,2100
"451",50457,27,NA,2497,1151,1542,235,598
"452",50464,1103,640,1203,1385,1833,1082,1979
"453",50468,2131,NA,506,2690,1063,1547,NA
"454",50471,852,2324,385,1646,1762,27,1578
"455",50481,792,1882,1086,1238,2226,780,351
"456",50485,640,164,862,1603,1615,1306,1809
"457",50488,63,NA,683,1269,1935,1388,1304
"458",50492,365,NA,678,1161,1894,431,1773
"459",50496,548,374,1113,1594,1837,775,1526
"460",50498,2209,NA,787,205,1192,328,1541
"461",50502,235,1301,557,1328,1883,2650,2104
"462",50503,865,NA,318,1633,1998,1086,524
"463",50506,1257,NA,2497,2543,900,277,1778
"464",50510,NA,NA,NA,NA,NA,NA,NA
"465",50512,NA,NA,NA,NA,NA,NA,NA
"466",50515,NA,NA,NA,NA,NA,NA,NA
"467",50516,1238,2464,1999,1976,2152,1949,989
"468",50517,NA,NA,2464,2582,2515,1257,NA
"469",50523,566,NA,1198,1319,1599,2481,1284
"470",50526,1743,NA,1,27,512,1301,NA
"471",50528,NA,NA,2063,2418,176,NA,NA
"472",50534,2727,NA,2355,2738,1045,1547,1689
"473",50537,NA,NA,2046,1854,318,1905,NA
"474",50541,NA,NA,NA,NA,NA,1478,NA
"475",50543,NA,NA,NA,NA,NA,NA,NA
"476",50545,NA,NA,NA,NA,NA,NA,NA
"477",50546,NA,NA,NA,NA,NA,NA,NA
"478",50548,NA,NA,NA,NA,NA,NA,NA
"479",50549,1518,2636,1557,2058,2643,1238,1784
"480",50551,176,NA,557,1416,1873,1012,1134
"481",50552,NA,NA,NA,NA,1167,NA,NA
"482",50557,1395,267,1776,1921,2287,1238,1631
"483",50561,NA,NA,NA,NA,NA,NA,NA
"484",50567,1075,2404,1334,1849,2561,1421,1010
"485",50568,14,NA,658,256,894,1547,NA
"486",50570,1053,2259,1290,1432,2254,1151,1775
"487",50573,1720,591,1876,2335,212,2243,314
"488",50575,1347,NA,905,108,891,NA,1191
"489",50580,1905,NA,338,99,840,1577,NA
"490",50581,119,1704,450,834,1005,365,2021
"491",50586,NA,NA,1934,1796,1468,NA,NA
"492",50588,NA,NA,2582,2464,885,1112,NA
"493",50589,1640,NA,2063,205,413,1431,NA
"494",50590,2529,NA,775,816,1295,803,1482
"495",50597,1882,NA,2727,256,826,1882,1802
"496",50599,1082,2464,949,1776,2165,1240,1795
"497",50603,1040,1984,1492,1906,2502,1203,1532
"498",50604,1934,NA,NA,1167,1704,1670,NA
"499",50608,NA,NA,2738,2340,548,NA,NA
"500",50609,NA,NA,NA,NA,1301,NA,NA
"501",50616,2176,NA,348,1040,1697,357,1659
"502",50624,810,NA,1277,1529,2078,338,1306
"503",50625,2101,431,1968,443,695,2357,575
"504",50633,1905,NA,857,498,1667,816,NA
"505",50636,1959,NA,153,852,1711,225,NA
"506",50641,1215,NA,2131,1743,2063,NA,NA
"507",50663,1854,NA,413,2432,1585,1215,NA
"508",50668,NA,NA,NA,NA,1670,NA,NA
"509",50674,NA,NA,NA,1882,2088,1478,NA
"510",50677,NA,NA,NA,NA,NA,NA,NA
"511",50678,2606,1610,598,750,1400,2340,510
"512",50684,1934,NA,75,2555,75,1547,NA
"513",50686,NA,NA,NA,NA,NA,NA,NA
"514",50688,1854,NA,2636,640,1306,2387,NA
"515",50689,2246,1257,2714,245,1251,450,NA
"516",50690,NA,NA,NA,NA,NA,NA,NA
"517",50696,NA,1882,NA,2749,2131,2370,1009
"518",50697,NA,NA,NA,NA,NA,NA,NA
"519",50701,2582,NA,810,840,1409,440,1185
"520",50704,NA,NA,338,548,1380,1391,1256
"521",50708,NA,NA,NA,NA,NA,NA,NA
"522",50709,2432,NA,557,810,1118,2606,NA
"523",50710,NA,NA,NA,NA,NA,NA,NA
"524",50714,NA,NA,NA,NA,NA,NA,NA
"525",50717,NA,NA,NA,NA,NA,NA,NA
"526",50723,NA,NA,NA,NA,NA,NA,NA
"527",50724,775,2594,925,1661,1366,2355,1637
"528",50726,NA,NA,NA,NA,NA,NA,NA
"529",50727,2105,NA,2701,2259,1124,1547,NA
"530",50732,NA,530,NA,205,NA,NA,851
"531",50735,2481,NA,2665,2760,905,1640,NA
