"","Provider.ID","MORT_30_AMI_denominator","MORT_30_CABG_denominator","MORT_30_COPD_denominator","MORT_30_HF_denominator","MORT_30_PN_denominator","MORT_30_STK_denominator","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_denominator","PSI_4_SURG_COMP_score"
"72",10138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",10139,32,114,233,32,84,45,1385,847,1251,1817,2222,1060,7368,1606
"74",10144,56,202,230,8,80,59,566,2246,1251,1720,1651,557,7217,1593
"75",10146,NA,NA,237,32,134,NA,NA,NA,2340,1391,75,NA,NA,NA
"76",10148,NA,NA,229,31,59,64,NA,NA,1192,225,196,2176,NA,NA
"77",10149,38,NA,245,20,33,41,2450,NA,1012,1290,1559,2464,NA,NA
"78",10150,NA,NA,235,19,67,NA,NA,NA,2481,2582,2701,NA,NA,NA
"79",10157,NA,NA,251,31,87,68,NA,NA,2727,2450,683,1704,NA,NA
"80",10158,60,NA,238,19,106,71,1577,NA,338,2636,962,2209,NA,NA
"81",10164,48,NA,246,28,82,49,2027,NA,480,357,1521,2432,NA,NA
"82",10168,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,1514,NA,NA,NA
"83",10169,NA,NA,239,10,36,56,NA,NA,385,646,308,1796,NA,NA
"84",11300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",11302,NA,NA,256,NA,80,NA,NA,NA,1301,NA,1215,NA,NA,NA
"86",11304,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,1431,NA,NA,NA
"87",11305,NA,NA,230,23,75,NA,NA,NA,2543,2229,141,NA,NA,NA
"88",13300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",13301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",20001,37,189,255,46,85,49,1441,75,1072,1498,1831,1492,1737,931
"91",20006,56,NA,246,58,64,50,2606,NA,582,450,1319,2555,NA,NA
"92",20008,NA,NA,249,34,128,53,NA,NA,1769,1704,2515,1743,NA,NA
"93",20012,39,NA,246,38,105,117,99,NA,2714,2404,164,2340,NA,NA
"94",20017,32,115,251,21,117,73,267,1959,2063,2543,75,2650,6678,1151
"95",20018,NA,NA,233,25,40,NA,NA,NA,1854,1257,2568,NA,NA,NA
"96",20024,NA,NA,248,39,89,59,NA,NA,2568,2324,678,1882,NA,NA
"97",20026,34,NA,221,46,83,69,1769,NA,2568,2305,935,2650,5071,2011
"98",21301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",21302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",21303,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,1167,NA,NA,NA
"101",21304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",21305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",21306,NA,NA,239,NA,95,NA,NA,NA,1112,NA,1431,NA,NA,NA
"104",21307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",21308,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,1257,NA,NA,NA
"106",21309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",21310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",21311,NA,NA,242,NA,47,NA,NA,NA,1514,NA,2450,NA,NA,NA
"109",21312,NA,NA,236,NA,NA,NA,NA,NA,1167,NA,NA,NA,NA,NA
"110",21313,NA,NA,240,NA,61,NA,NA,NA,1257,NA,2063,NA,NA,NA
"111",30001,NA,NA,249,19,54,49,NA,NA,1905,1112,1934,1347,NA,NA
"112",30002,53,188,236,25,63,92,800,14,566,1209,1103,980,3071,1307
"113",30006,59,195,232,40,67,39,1416,803,1032,1964,2080,1233,1644,930
"114",30007,51,NA,255,28,85,50,348,NA,840,697,1395,308,5139,599
"115",30010,46,188,24,35,75,50,606,2432,614,847,1107,1072,6812,1538
"116",30011,42,NA,27,37,85,60,1060,NA,1099,1107,1978,1542,778,2028
"117",30012,51,213,8,30,105,118,1716,205,1198,1021,1926,1124,1388,540
"118",30013,38,116,243,41,82,39,2061,877,2232,2144,363,1646,1969,1503
"119",30014,58,114,235,33,66,87,196,2007,930,1086,1894,840,65,545
"120",30016,51,NA,256,27,99,44,27,NA,1174,235,1512,1984,3713,1564
"121",30022,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,1514,NA,NA,NA
"122",30023,46,196,239,12,56,63,826,214,196,918,1603,800,1417,326
"123",30024,46,215,236,253,76,35,318,2450,431,431,1040,1521,2713,2918
"124",30030,66,114,245,19,43,75,539,2288,2450,557,471,196,202,1351
"125",30033,34,NA,243,17,51,50,2529,NA,108,2760,759,1610,NA,NA
"126",30036,39,188,219,258,70,38,1128,598,1238,1523,2236,1322,1187,784
"127",30037,58,115,244,40,76,NA,2432,1824,1704,2229,2105,NA,4143,1797
"128",30038,58,189,13,253,56,90,512,1984,942,1526,2081,1611,568,1684
"129",30043,56,NA,251,27,69,52,894,NA,988,557,1392,1984,2945,1586
"130",30055,53,114,221,33,43,51,894,1743,1899,1484,2146,338,5475,1958
"131",30061,47,190,237,26,66,40,1583,1082,2177,2003,2620,1594,1141,348
"132",30062,49,NA,232,10,45,62,235,NA,108,2749,1005,63,2837,1274
"133",30064,41,108,229,12,47,75,918,299,2665,1036,1716,737,1751,2162
"134",30065,40,115,231,12,58,91,862,2529,1290,1322,2210,1113,1706,3020
"135",30068,NA,NA,255,31,102,NA,NA,NA,1854,1391,245,NA,NA,NA
"136",30069,68,189,223,45,61,77,1082,2582,1179,1591,2013,557,5071,1006
"137",30071,NA,NA,NA,31,42,NA,NA,NA,NA,1301,506,NA,NA,NA
"138",30073,NA,NA,NA,19,42,NA,NA,NA,NA,1670,308,NA,NA,NA
"139",30074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",30077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",30078,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,1347,NA,NA,NA
"142",30083,49,NA,246,33,89,NA,2154,NA,2606,2404,450,NA,NA,NA
"143",30084,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,385,NA,NA,NA
"144",30085,65,200,249,39,75,80,792,2623,1251,1362,2214,1269,1,653
"145",30087,32,207,244,29,57,18,1168,2701,1265,1969,2644,582,1417,2033
"146",30088,45,NA,245,16,57,37,2007,NA,2290,1492,270,2199,900,306
"147",30089,37,189,242,28,46,63,935,2543,1503,1203,2161,865,1706,822
"148",30092,43,193,238,19,75,40,365,2275,750,871,1782,348,7059,1628
"149",30093,39,NA,15,19,79,42,1671,NA,1831,1698,2459,1964,527,607
"150",30094,44,110,244,36,78,75,2727,2194,575,395,1468,225,6002,1332
