"","Provider.ID","Score.OP_10","Score.OP_11","Score.OP_13","Score.OP_14","Score.OP_8","Score.OP_9"
"1",10001,-0.250738071701611,-0.388644134660099,1.19998512911297,-0.20749695318248,-0.299603795816751,-0.40185189558002
"7",10005,0.423442238110209,1.20364652896566,0.305172278391907,0.648976866335933,0.378309417689763,-0.761120914350925
"13",10006,0.276881301194596,0.244847849793161,-2.32955444873122,0.970154548655338,0.782172608714922,0.0372546829177526
"19",10007,1.49822244215804,0.50166892457151,NA,NA,NA,2.35254391499692
"25",10008,-0.524318487277422,NA,NA,-1.17103000014069,NA,-0.1423798264677
"31",10011,-0.641567236809913,1.23788933893611,NA,0.327799184016528,-0.573653818298108,NA
"37",10012,-0.280050259084734,1.306374958877,-0.788487872489389,NA,NA,-0.940755423736378
"43",10016,2.19194421022527,-0.285915704748759,0.00690132815155329,0.43485841145633,-0.342874851998019,-0.102461046604266
"49",10018,NA,NA,NA,NA,NA,NA
"55",10019,1.17578838094369,-0.405765539645322,NA,0.863095321215536,-0.256332739635485,-0.880877253941227
"61",10021,-0.465694112511177,-0.320158514719206,-1.58387707313033,NA,1.83510164245908,0.196929802371488
"67",10022,-0.182342967807658,0.433183304630617,NA,NA,NA,-0.661323964692341
"73",10023,-0.622025778554497,-0.491372564571438,NA,0.488388025176231,0.825443664896188,-0.86091786400951
"79",10024,0.0130716147464922,-0.508493969556662,NA,-0.368085794342182,0.796596294108678,-1.319983832439
"85",10029,0.257339842939181,-0.354401324689652,0.653155053672319,-0.0469081120227776,0.940833148046234,-0.162339216399417
"91",10032,-0.739274528086988,NA,NA,NA,NA,NA
"97",10033,1.42982733826408,-0.542736779527108,3.53644090599574,0.00662150169712307,0.0177172828458723,0.536239431210676
"103",10034,0.521149529387284,0.022269584985259,NA,NA,NA,-0.501648845238605
"109",10035,-0.0162405726366303,1.0837966940691,-1.93185984841074,0.809565707495635,0.782172608714922,-0.900836643872944
"115",10036,-0.0944064056582907,1.54607462867013,NA,NA,-0.487111705935575,-0.621405184828907
"121",10038,-0.436381925128054,0.690004379408966,3.68557638111591,NA,1.82067795706533,0.995305399640166
"127",10039,0.73610557019685,-0.542736779527108,0.106324978231671,1.02368416237524,-0.0976722003041724,-0.242176776126285
"133",10040,0.345276405088548,0.467426114601063,NA,1.61250991329415,-0.27075642502924,-0.40185189558002
"139",10044,-0.53408921640513,-0.148944464866974,NA,NA,NA,NA
"145",10045,-0.719733069831573,-0.474251159586215,NA,0.702506480055833,1.27257791210261,1.51424953786481
"151",10046,-0.670879424193035,0.0565123949557055,NA,2.20133566421306,NA,NA
"157",10047,-0.661108695065328,NA,NA,NA,NA,NA
"163",10049,-0.465694112511177,-0.491372564571438,2.29364527999426,1.77309875445385,1.41681476604017,-0.441770675443454
"169",10051,NA,NA,NA,NA,NA,-0.122420436535983
"175",10052,NA,NA,NA,NA,NA,NA
"181",10055,-0.270279529957026,-0.371522729674876,0.354884103431966,0.702506480055833,0.407156788477275,-0.561527015033756
"187",10056,-0.358216092106394,-0.508493969556662,1.00113782895273,0.541917638896131,1.08507000198379,-0.481689455306888
"193",10058,-0.240967342573904,-0.542736779527108,NA,NA,NA,-0.162339216399417
"199",10059,-0.0357820308920455,-0.354401324689652,NA,1.98721720933345,NA,0.0771734627811867
"205",10061,-0.436381925128054,-0.542736779527108,NA,0.595447252616032,0.536969957021076,NA
"211",10062,2.37758806365172,-0.542736779527108,NA,NA,NA,-0.641364574760624
"217",10065,-0.270279529957026,-0.285915704748759,NA,-0.84985231782129,1.28700159749637,-0.00266409694568118
"223",10069,-0.436381925128054,0.50166892457151,0.15603680327173,NA,NA,-0.561527015033756
"229",10073,-0.719733069831573,-0.268794299763536,-0.0925223219285646,NA,NA,-0.0825016566725491
"235",10078,-0.00646984350892281,-0.217430084807866,-0.0925223219285646,0.274269570296627,-0.169790627272951,-0.501648845238605
"241",10079,1.72294921209531,-0.405765539645322,1.89595067967379,1.07721377609514,-1.28041440259213,-0.262136166058002
