"","Provider.ID","READM_30_AMI_score","READM_30_CABG_score","READM_30_COPD_score","READM_30_HF_score","READM_30_HIP_KNEE_score","READM_30_HOSP_WIDE_score","READM_30_PN_score","READM_30_STK_score"
"2099",230167,-1.45266655652723,0.361258585789714,-1.01484587636031,0.293449023107435,-0.467305941785627,0.457452339793619,0.680012289872273,0.333938508287348
"2100",230174,NA,NA,1.1816462264508,0.659633274164576,0.739229181841453,1.30469339895626,0.680012289872273,0.579629073098238
"2101",230176,0.406941509226408,NA,0.409905757895545,-0.49995018751637,-1.22139039405255,-1.3580642155549,0.291574070553848,0.0882479434764576
"2102",230180,NA,NA,-0.836751922078328,0.0493261890693412,0.588412291388068,0.578486776816854,-1.26217880671985,NA
"2103",230193,-0.212927846024805,NA,-0.421199362087037,-0.0117045194401823,-0.316489051332242,-0.268754282345791,1.26266961884991,0.579629073098238
"2104",230195,-0.936108760484553,1.24863616915742,-1.37103378492427,-0.194796644968753,-0.768939722692398,-0.75289203043873,-0.938480290621165,-0.587401109753491
"2105",230197,0.82018774606055,-0.881070030925068,0.825458317886836,-1.59850294068779,-0.014855270425472,-0.75289203043873,-1.19743910350011,0.948164920314574
"2106",230207,0.0970068316008018,NA,-1.07421052778764,-0.377888770497323,0.286778510481298,-1.11599534150844,-0.161603851984315,0.456783790692793
"2107",230208,NA,NA,-1.01484587636031,-0.988195855592558,-0.618122832239013,-1.11599534150844,-0.226343555204052,0.211093225881903
"2108",230216,0.510253068434944,0.0950453107794033,-1.60849239063358,-0.683042313044941,-1.82465795586609,-1.84220196364784,-1.19743910350011,0.026825302273735
"2109",230217,NA,NA,1.1816462264508,0.90375610820267,-1.07057350359917,1.7888311470492,1.78058724460781,0.886742279111851
"2110",230222,-0.31623940523334,1.51484944416773,-0.896116573505656,0.598602565655053,-0.165672160878857,0.457452339793619,0.744751993092011,1.60792086513332
"2111",230227,-0.936108760484553,0.538734102463254,-0.718022619223674,-0.3168580619878,-1.22139039405255,-0.147719845322556,-1.19743910350011,0.518206431895516
"2112",230230,-0.626174082858946,-1.679709855956,0.587999712177527,-0.438919479006847,-2.12629173677286,-0.873926467461965,0.874231399531486,-0.0345973389289876
"2113",230236,1.23343398289469,NA,1.00355227216882,2.00230886137409,0.437595400934683,2.03090002109567,1.5863681349486,0.579629073098238
"2114",230239,0.923499305269086,NA,-0.599293316369019,0.537571857145529,-0.014855270425472,-0.389788719369026,-0.226343555204052,0.395361149490071
"2115",230241,NA,NA,-0.421199362087037,0.0493261890693412,0.135961620027913,-0.510823156392261,1.0684505091907,0.333938508287348
"2116",230244,-1.86591279336137,NA,-0.896116573505656,-0.805103730063988,-0.618122832239013,-2.68944302281049,-1.78009643247775,-0.0960199801317102
"2117",230254,0.406941509226408,-0.171167964230907,-1.07421052778764,-0.255827353478276,-0.919756613145783,-0.75289203043873,0.356313773773586,0.641051714300961
"2118",230259,NA,NA,-0.421199362087037,1.81921673584552,1.19167985320161,1.54676227300273,1.39214902528939,0.579629073098238
"2119",230264,NA,NA,NA,NA,NA,NA,NA,NA
"2120",230269,-2.27915903019551,-0.171167964230907,-2.0834096020522,-0.438919479006847,0.286778510481298,-2.93151189685696,-1.26217880671985,-1.38589544538888
"2121",230270,0.0970068316008018,NA,-1.19293983064229,-0.49995018751637,0.437595400934683,-0.510823156392261,-0.226343555204052,-1.50874072779433
"2122",230273,-0.729485642067482,NA,-1.4303984363516,-1.3543801066497,-1.67384106541271,-3.29461520792666,-1.32691850993959,-1.81585393380794
"2123",230275,NA,NA,NA,NA,NA,NA,NA,NA
"2124",230277,-1.03942031969309,NA,-0.658657967796346,-0.49995018751637,-0.618122832239013,-0.75289203043873,0.291574070553848,0.333938508287348
"2125",230279,NA,NA,NA,NA,NA,NA,NA,NA
"2126",230297,NA,NA,NA,NA,NA,-1.47909865257814,-0.0321244455448395,NA
"2127",230301,NA,NA,NA,NA,-0.165672160878857,NA,NA,NA
"2128",230302,0.0970068316008018,NA,1.00355227216882,-0.744073021554464,-0.316489051332242,-0.75289203043873,-1.19743910350011,-1.07878223937527
"2129",230303,NA,NA,0.825458317886836,-1.3543801066497,-0.618122832239013,-0.510823156392261,-0.420562664863265,-0.0960199801317102
"2130",231300,NA,NA,NA,NA,NA,NA,NA,NA
"2131",231301,NA,NA,NA,NA,NA,NA,NA,NA
"2132",231303,NA,NA,1.12228157502347,-0.0727352279497057,0.588412291388068,0.336417902770384,0.485793180213061,NA
"2133",231304,NA,NA,-0.777387270651001,0.354479731616959,NA,-0.631857593415495,0.550532883432798,NA
"2134",231305,NA,NA,-0.480564013514364,0.415510440126482,NA,-0.631857593415495,0.162094664114373,NA
"2135",231306,NA,NA,0.5286350607502,NA,NA,0.336417902770384,1.13319021241044,NA
"2136",231307,NA,NA,0.5286350607502,-0.805103730063988,NA,-1.96323640067108,0.680012289872273,NA
"2137",231308,NA,NA,NA,NA,NA,0.0943490287239141,0.485793180213061,NA
"2138",231309,NA,NA,NA,NA,NA,0.215383465747149,0.485793180213061,NA
"2139",231310,NA,NA,0.884822969314164,NA,-0.467305941785627,0.699521213840089,1.39214902528939,NA
"2140",231311,NA,NA,NA,NA,NA,0.215383465747149,NA,NA
"2141",231312,NA,NA,0.587999712177527,NA,NA,0.0943490287239141,0.809491696311748,NA
"2142",231313,NA,NA,NA,NA,NA,0.0943490287239141,NA,NA
"2143",231314,NA,NA,NA,0.293449023107435,NA,0.457452339793619,0.356313773773586,NA
"2144",231315,NA,NA,0.766093666459509,0.476541148636006,NA,0.457452339793619,-0.226343555204052,NA
"2145",231316,NA,NA,0.944187620741491,-0.377888770497323,0.135961620027913,-0.510823156392261,-0.29108325842379,NA
"2146",231317,NA,NA,-0.421199362087037,NA,NA,0.457452339793619,-0.355822961643527,NA
"2147",231318,NA,NA,-0.302470059232383,-0.0117045194401823,NA,0.578486776816854,0.680012289872273,0.333938508287348
"2148",231319,0.716876186852015,NA,0.469270409322872,0.354479731616959,-0.316489051332242,-0.389788719369026,-0.679521477742215,-0.403133186145323
"2149",231320,NA,NA,-0.302470059232383,0.0493261890693412,NA,0.336417902770384,0.162094664114373,NA
"2150",231321,NA,NA,-0.36183471065971,0.476541148636006,0.588412291388068,0.699521213840089,0.550532883432798,NA
"2151",231322,NA,NA,0.409905757895545,0.90375610820267,0.286778510481298,0.336417902770384,1.00371080597096,NA
