"","Provider.ID","OP_10","OP_11","OP_13","OP_14","OP_8"
"1",10001,0.250738071701611,0.388644134660099,-1.19998512911297,0.20749695318248,0.299603795816751
"2",10005,-0.423442238110209,-1.20364652896566,-0.305172278391907,-0.648976866335933,-0.378309417689763
"3",10006,-0.276881301194596,-0.244847849793161,2.32955444873122,-0.970154548655338,-0.782172608714922
"4",10007,-1.49822244215804,-0.50166892457151,NA,NA,NA
"5",10008,0.524318487277422,NA,NA,1.17103000014069,NA
"6",10011,0.641567236809913,-1.23788933893611,NA,-0.327799184016528,0.573653818298108
"7",10012,0.280050259084734,-1.306374958877,0.788487872489389,NA,NA
"8",10016,-2.19194421022527,0.285915704748759,-0.00690132815155329,-0.43485841145633,0.342874851998019
"9",10018,NA,NA,NA,NA,NA
"10",10019,-1.17578838094369,0.405765539645322,NA,-0.863095321215536,0.256332739635485
"11",10021,0.465694112511177,0.320158514719206,1.58387707313033,NA,-1.83510164245908
"12",10022,0.182342967807658,-0.433183304630617,NA,NA,NA
"13",10023,0.622025778554497,0.491372564571438,NA,-0.488388025176231,-0.825443664896188
"14",10024,-0.0130716147464922,0.508493969556662,NA,0.368085794342182,-0.796596294108678
"15",10029,-0.257339842939181,0.354401324689652,-0.653155053672319,0.0469081120227776,-0.940833148046234
"16",10032,0.739274528086988,NA,NA,NA,NA
"17",10033,-1.42982733826408,0.542736779527108,-3.53644090599574,-0.00662150169712307,-0.0177172828458723
"18",10034,-0.521149529387284,-0.022269584985259,NA,NA,NA
"19",10035,0.0162405726366303,-1.0837966940691,1.93185984841074,-0.809565707495635,-0.782172608714922
"20",10036,0.0944064056582907,-1.54607462867013,NA,NA,0.487111705935575
"21",10038,0.436381925128054,-0.690004379408966,-3.68557638111591,NA,-1.82067795706533
"22",10039,-0.73610557019685,0.542736779527108,-0.106324978231671,-1.02368416237524,0.0976722003041724
"23",10040,-0.345276405088548,-0.467426114601063,NA,-1.61250991329415,0.27075642502924
"24",10044,0.53408921640513,0.148944464866974,NA,NA,NA
"25",10045,0.719733069831573,0.474251159586215,NA,-0.702506480055834,-1.27257791210261
"26",10046,0.670879424193035,-0.0565123949557055,NA,-2.20133566421306,NA
"27",10047,0.661108695065328,NA,NA,NA,NA
"28",10049,0.465694112511177,0.491372564571438,-2.29364527999426,-1.77309875445385,-1.41681476604017
"29",10051,NA,NA,NA,NA,NA
"30",10052,NA,NA,NA,NA,NA
"31",10055,0.270279529957026,0.371522729674876,-0.354884103431966,-0.702506480055834,-0.407156788477275
"32",10056,0.358216092106394,0.508493969556662,-1.00113782895273,-0.541917638896131,-1.08507000198379
"33",10058,0.240967342573904,0.542736779527108,NA,NA,NA
"34",10059,0.0357820308920455,0.354401324689652,NA,-1.98721720933345,NA
"35",10061,0.436381925128054,0.542736779527108,NA,-0.595447252616032,-0.536969957021076
"36",10062,-2.37758806365172,0.542736779527108,NA,NA,NA
"37",10065,0.270279529957026,0.285915704748759,NA,0.84985231782129,-1.28700159749637
"38",10069,0.436381925128054,-0.50166892457151,-0.15603680327173,NA,NA
"39",10073,0.719733069831573,0.268794299763536,0.0925223219285646,NA,NA
"40",10078,0.00646984350892281,0.217430084807866,0.0925223219285646,-0.274269570296627,0.169790627272951
"41",10079,-1.72294921209531,0.405765539645322,-1.89595067967379,-1.07721377609514,1.28041440259213
"42",10083,-1.1953298391991,-1.88850272837459,-0.454307753512083,-0.756036093775735,1.17944860483585
"43",10085,-0.452754425493331,-1.13516090902477,0.241657797048741,0.528674635501885,-0.147530451389674
"44",10086,0.348445362978687,0.046216034955634,0.191945972008683,NA,-1.93606744021537
"45",10087,-1.35166150524242,-2.1110809931825,NA,-2.04074682305335,NA
"46",10089,0.377757550361809,-0.895461239231645,NA,-0.113680729136925,-2.33993063124053
"47",10090,-3.1299342064852,-0.655761569438519,NA,-0.756036093775735,-1.02737526040877
"48",10091,-2.13331983545903,-3.56640041692647,NA,NA,NA
"49",10092,0.670879424193035,0.508493969556662,0.639352397369213,-0.113680729136925,-1.01295157501501
"50",10095,0.876064735874893,NA,NA,1.17103000014069,NA
"51",10097,-0.296422759450011,NA,NA,NA,NA
"52",10099,-2.41667098016255,0.268794299763536,0.689064222409272,1.06397077270089,-2.81591224923447
"53",10100,-0.638398278919774,-0.124998014896598,NA,-0.702506480055834,0.213061683454217
"54",10101,-0.335505675960841,-0.604397354482849,0.639352397369213,NA,NA
"55",10102,0.172572238679951,NA,NA,NA,NA
"56",10103,-0.374588592471671,-0.55303313952718,NA,-0.113680729136925,-0.29176730532723
"57",10104,-0.433212967237916,0.457129754600992,-0.106324978231671,-0.863095321215536,-0.52254627162732
"58",10108,0.0944064056582907,0.440008349615769,NA,NA,-1.79183058627782
"59",10109,0.504777029022007,0.371522729674876,NA,NA,NA
"60",10110,0.709962340703865,0.542736779527108,NA,NA,NA
"61",10112,-0.276881301194596,-0.912582644216868,NA,NA,-0.248496249145963
"62",10113,-5.43582628062417,0.457129754600992,NA,-0.113680729136925,0.126519571091684
"63",10114,0.00646984350892281,0.542736779527108,-2.19422162991415,NA,0.645772245266886
"64",10118,0.436381925128054,0.251672894778313,0.341081447128859,0.368085794342182,0.443840649754308
"65",10120,0.00646984350892281,0.303037109733983,-0.305172278391907,0.368085794342182,-1.41681476604017
"66",10125,0.250738071701611,NA,-0.00690132815155329,NA,0.50153539132933
"67",10126,-0.824042132346217,0.18318727483742,-0.802290528792496,NA,NA
"68",10128,-2.01607108592654,NA,NA,NA,NA
"69",10129,-2.27988077237464,-1.47758900872924,NA,NA,NA
