"","Provider.ID","H_CLEAN_LINEAR_SCORE_mean","H_COMP_1_LINEAR_SCORE_mean","H_COMP_2_LINEAR_SCORE_mean","H_COMP_3_LINEAR_SCORE_mean","H_COMP_4_LINEAR_SCORE_mean","H_COMP_5_LINEAR_SCORE_mean","H_COMP_6_LINEAR_SCORE_mean","H_COMP_7_LINEAR_SCORE_mean","H_HSP_RATING_LINEAR_SCORE_mean","H_QUIET_LINEAR_SCORE_mean","H_RECMND_LINEAR_SCORE_mean"
"888",100289,-0.335366053379135,0.267203280513615,0.045776483056357,-0.0627392067740372,0.16949733554558,0.284582063185323,0.309565783829871,0.515506153211088,1.00973165809367,0.577463968856654,1.13894999622475
"889",100290,-0.594499118413057,-0.520485045571898,-2.39966365747717,-0.517939077225581,-0.991068675698197,-1.81713136345492,-2.7972026079587,-1.58280626465528,-1.45930286771801,-0.793133867915431,-1.15069847756116
"890",100291,-0.594499118413057,-1.70201753470017,-4.43753044125511,-1.88353868858021,-1.76477934986072,-2.05065507752606,-0.537734686657921,-1.58280626465528,-1.45930286771801,0.577463968856654,-1.60862817231835
"891",100292,0.442033141722631,0.661047443556372,0.453349839811944,0.392460663677507,0.943208009708099,0.518105777256461,0.591999273992468,1.21494362583321,1.00973165809367,0.773263659824095,1.13894999622475
"892",100296,0.960299271790474,0.267203280513615,0.860923196567532,-0.0627392067740372,0.16949733554558,-0.415989079028091,-1.10260166698311,1.21494362583321,0.392473026640746,0.381664277889213,0.452055454088974
"893",100298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894",100299,-0.853632183446978,-0.914329208614655,-0.769370230454818,-0.745539012451353,-0.604213338616938,-1.1165602212415,0.591999273992468,-0.183931319411034,-0.224785604812174,-0.00993510404566814,-0.234839088046799
"895",100302,-2.14929750861659,-2.48970586078568,-1.99209030072158,-2.11113862380599,-1.76477934986072,-2.28417879159719,-1.38503515714571,-1.58280626465528,-2.38519081489739,-1.38053294081775,-2.7534524092113
"896",100307,-0.853632183446978,-0.126640882529141,-0.36179687369923,-0.745539012451353,-0.604213338616938,-0.415989079028091,0.309565783829871,-0.183931319411034,0.0838437109142859,-0.00993510404566814,0.223090606710383
"897",100313,0.960299271790474,1.05489160659913,0.860923196567532,1.53046033980637,0.16949733554558,0.985153205398737,0.591999273992468,0.165787416900027,1.31836097382013,2.14386149659618,0.909985148846157
"898",100314,0.442033141722631,0.267203280513615,0.045776483056357,-0.517939077225581,0.16949733554558,0.0510583491141852,0.591999273992468,1.21494362583321,0.392473026640746,1.16486304175898,0.681020301467566
