"","Provider.ID","ED_1b_Score","ED_2b_Score","OP_18b_Score","OP_20_Score","OP_21_Score","OP_3b_Score","OP_5_Score"
"1",10001,0.097788941691464,-0.873758097591854,-0.318576984025574,-1.81312272404028,-2.67516077610135,NA,NA
"2",10005,0.387157054502741,-0.90683312298854,0.847860529863795,0.196946588588886,-0.483052866845035,NA,1.41774749758612
"3",10006,0.676525167314018,-0.964714417432739,0.611620020721644,1.58485159016617,-0.36767876635786,NA,NA
"4",10007,0.65426608171315,-0.873758097591854,0.818330466221026,-0.377358929305162,-2.21366437415265,NA,-0.833655479898089
"5",10008,1.08831825093007,-0.724920483306769,-2.37091640719801,0.196946588588886,0.151504685834426,NA,NA
"6",10011,-0.0914132859159093,-0.90683312298854,0.272024288829803,-1.23881720614623,-1.29067157025526,NA,NA
"7",10012,0.988152365726162,-0.691845457910084,0.803565434399642,-0.185923756673812,-0.425365816601447,NA,1.67505069501289
"8",10016,-0.358522313126319,-1.10528327536865,-0.421932206775265,0.00551141595753685,-1.23298452001167,NA,NA
"9",10018,0.999281908526596,NA,0.951215752613486,0.531958140693747,NA,NA,NA
"10",10019,0.999281908526596,-0.807608046798483,0.877390593506564,0.388381761220235,-0.598426967332209,0.412949537246441,0.19555730980898
"11",10021,1.1662250505331,-0.708382970608426,-2.34138634355524,0.531958140693747,0.439939937052362,NA,-0.769329680541397
"12",10022,0.164566198494066,-1.08047700632114,1.05457097536318,0.627675727009422,0.2668787863216,NA,1.54639909629951
"13",10023,-1.68293790637793,0.366555354783854,0.183434097901496,-0.329500136147324,-0.713801067819384,NA,NA
"14",10024,-0.0580246575146082,1.40014989843028,0.493499766150569,-1.04738203351488,-2.04060322342189,NA,NA
"15",10029,0.531841110908379,-0.799339290449312,0.493499766150569,-0.616652895094348,-1.40604567074243,NA,-0.89798127925478
"16",10032,0.420545682904042,-0.939908148385225,0.655915116185797,0.196946588588886,0.0361305853472512,NA,-0.769329680541397
"17",10033,-1.95004693358834,1.35053736033525,-0.495757365882187,-0.281641342989487,-1.63679387171678,NA,NA
"18",10034,0.1756957412945,-0.840683072195169,0.862625561685179,0.00551141595753685,-2.50209962537059,NA,-0.126071686974479
"19",10035,0.409416140103608,1.57379378176288,0.714975243471335,0.292664174904561,0.439939937052362,NA,-0.833655479898089
"20",10036,1.14396596493223,-0.592620381720027,-2.23803112080555,-0.473076515620836,1.99749029362922,NA,1.67505069501289
"21",10038,1.0994477937305,-0.824145559496826,-2.20850105716278,0.771252106482934,-0.252304665870685,NA,NA
"22",10039,-0.592242711935427,1.51591248731868,-0.0528064112406543,-1.76526393088244,-0.713801067819384,NA,NA
"23",10040,-1.30453345116319,1.36707487303359,-0.643407684096031,-0.76022927456786,3.32429244923173,NA,NA
"24",10044,0.876856937721825,-0.270138884102343,1.09886607082733,0.196946588588886,-0.36767876635786,NA,-0.89798127925478
"25",10045,0.620877453311849,-0.972983173781911,0.995510848077639,1.58485159016617,0.439939937052362,NA,-0.447700683757938
"26",10046,-0.0914132859159093,1.55725626906453,0.109608938794574,0.340522968062398,-1.23298452001167,NA,NA
"27",10047,1.64479539095175,-0.0799574880714009,1.09886607082733,-0.568794101936511,NA,NA,NA
"28",10049,0.442804768504909,-0.840683072195169,0.478734734329184,0.388381761220235,-0.944549268793733,NA,-0.769329680541397
"29",10051,1.22187276453527,1.22650601509768,0.153904034258727,-1.43025237877758,NA,NA,NA
"30",10052,0.487322939706644,-0.939908148385225,0.951215752613486,-0.0423473772003005,NA,NA,0.388534707879055
"31",10055,0.698784252914885,-0.90683312298854,0.478734734329184,0.292664174904561,-0.483052866845035,NA,NA
"32",10056,-0.56998362633456,1.33399984763691,-0.377637111311111,-0.377358929305162,-1.92522912293472,NA,NA
"33",10058,0.587488824910548,-0.90683312298854,0.611620020721644,0.340522968062398,-1.34835862049884,NA,NA
"34",10059,0.854597852120957,-0.592620381720027,-1.94273048437786,0.627675727009422,0.0361305853472512,NA,-0.769329680541397
"35",10061,-0.0135064863128733,-1.0060581991786,-0.0823364748834232,-0.281641342989487,-1.57910682147319,-1.82213809918349,1.16044430015936
"36",10062,1.1662250505331,-0.708382970608426,-2.37091640719801,-0.0423473772003005,-0.713801067819384,NA,NA
"37",10065,0.186825284094934,-1.04740198092445,0.714975243471335,0.627675727009422,-0.713801067819384,NA,1.67505069501289
"38",10069,1.11057733653093,-0.592620381720027,0.582089957078875,-2.96173375982838,0.49762698729595,NA,1.41774749758612
"39",10073,0.787820595318355,-0.799339290449312,1.01027587989902,-0.185923756673812,-0.944549268793733,NA,-0.576352282471321
"40",10078,0.164566198494066,-0.832414315845997,-0.0971015067048076,-0.76022927456786,-1.40604567074243,NA,-0.89798127925478
"41",10079,0.498452482507078,-0.840683072195169,0.641150084364413,0.101229002273212,-1.17529746976808,NA,-0.833655479898089
"42",10083,0.220213912496235,-0.989520686480254,0.375379511579494,0.00551141595753685,0.0938176355908385,NA,NA
"43",10085,-0.0468951147141745,-1.13008954441617,0.537794861614722,-0.281641342989487,-0.944549268793733,0.903578530609108,-0.576352282471321
"44",10086,0.910245566123126,-0.625695407116713,-2.2823262162697,1.58485159016617,0.786062238513886,NA,-0.576352282471321
"45",10087,-2.28393321760135,-0.0882262444205723,-1.54407462520048,-2.10027548298731,-1.9829161731783,NA,NA
"46",10089,0.253602540897536,-0.956445661083568,0.685445179828566,0.531958140693747,-0.136930565383511,NA,1.67505069501289
"47",10090,0.120048027292331,1.55725626906453,-0.0971015067048076,0.149087795431049,-1.52141977122961,NA,NA
