"","Provider.ID","MORT_30_AMI_score","MORT_30_CABG_score","MORT_30_COPD_score","MORT_30_HF_score","MORT_30_PN_score","MORT_30_STK_score","PSI_4_SURG_COMP_Score"
"1",10001,1.14490388866085,-0.815172883586231,-0.50564454813554,0.239385525220812,0.426279015489268,-0.232246276429654,-1.36813233659692
"2",10005,-1.3818597831269,NA,-0.190306944012193,-0.326559580019714,-2.34944920976275,-0.286715254144445,-1.49994142530248
"3",10006,-1.88721251748444,-0.793641267392977,-0.0975605898582675,-0.34481587373715,-0.763318795333028,-1.59397071929941,-1.57035997954243
"4",10007,NA,NA,-0.50564454813554,-0.125740349127915,-1.02767386440465,-0.885874009007137,NA
"5",10008,NA,NA,-0.301602568996904,0.184616644068503,0.338160659132061,NA,NA
"6",10011,0.13419841994575,-0.685983186426705,-0.153208402350623,-0.0162025868232968,-0.631141260797217,1.29288509958447,-1.12076459477964
"7",10012,-1.95940576524981,NA,-0.487095277304755,0.221129231503375,-4.51886806930447,-0.450122187288815,NA
"8",10016,-0.443347562177163,-0.664451570233451,-0.283053298166119,-0.0527151742581694,0.161923946417646,-0.450122187288815,-1.05937406031404
"9",10018,NA,NA,NA,NA,NA,NA,NA
"10",10019,-1.09308679206544,NA,-0.394348923150829,0.14810405663363,-1.15985139894046,-0.232246276429654,0.0745452233447343
"11",10021,NA,NA,0.0322843059572283,0.275898112655684,0.95498915363251,-0.831405031292346,NA
"12",10022,NA,NA,-0.208856214842978,-0.381328461172023,0.294101480953457,NA,NA
"13",10023,0.49516465877257,-0.879767732165994,-0.46854600647397,0.0385662943290121,0.0297464118818358,-0.776936053577556,-1.42952287106252
"14",10024,-0.515540809942527,-0.944362580745757,-0.54274308979711,0.567998812134665,-0.983614686226045,0.857133277866149,-1.38618837614563
"15",10029,-1.02089354430008,-0.85823611597274,-0.264504027335334,0.29415440637312,-1.02767386440465,0.312443500718247,-0.745198972166543
"16",10032,NA,NA,-0.301602568996904,0.586255105852101,0.294101480953457,NA,NA
"17",10033,1.21709713642621,1.14420418999991,-0.0975605898582675,0.586255105852101,0.690634084560889,-2.13866049644731,-0.384078181192412
"18",10034,NA,NA,-0.0790113190274824,-3.81351168005005,1.52775846995436,0.149036567573877,NA
"19",10035,-1.1652800398308,NA,-0.320151839827689,0.221129231503375,-2.08509414069113,-0.994811964436717,0.688450568000757
"20",10036,NA,NA,-0.116109860689053,0.403692168677738,0.602515728203682,0.966071233295729,NA
"21",10038,-0.298961066646435,NA,0.0322843059572283,0.29415440637312,0.778752440918096,0.312443500718247,NA
"22",10039,0.711744402068663,3.40502389029161,-0.320151839827689,0.367179581242866,-0.983614686226045,-1.59397071929941,-1.43493968292713
"23",10040,-0.659927305473255,-0.685983186426705,-0.171757673181408,-0.0162025868232968,-0.983614686226045,0.584788389292198,0.943040725637519
"24",10044,NA,NA,-0.00481423570434195,0.421948462395175,1.13122586634692,NA,NA
"25",10045,NA,NA,-0.190306944012193,0.549742518417229,-0.4108453699042,0.584788389292198,NA
"26",10046,-1.30966653536153,-0.55679348926718,-0.227405485673763,0.403692168677738,-0.54302290444001,0.149036567573877,0.184687064591844
"27",10047,NA,NA,-0.116109860689053,NA,0.822811619096699,NA,NA
"28",10049,NA,NA,3.74213847211425,0.0203100006115758,-1.42420646801208,0.149036567573877,NA
"29",10051,NA,NA,-0.487095277304755,0.604511399569538,0.0297464118818358,NA,NA
"30",10052,NA,NA,-0.171757673181408,0.330666993807993,0.20598312459625,NA,NA
"31",10055,-2.10379226078054,-0.664451570233451,3.87198336792975,-0.089227761693042,0.910929975453906,-0.776936053577556,-1.56855437558756
"32",10056,-1.02089354430008,-1.05202066171203,-0.301602568996904,0.184616644068503,1.13122586634692,0.475850433862618,-1.21465600043291
"33",10058,NA,NA,NA,NA,-0.895496329868838,NA,NA
"34",10059,-0.298961066646435,NA,-0.153208402350623,0.275898112655684,0.646574906382285,0.475850433862618,NA
"35",10061,NA,NA,-0.264504027335334,0.29415440637312,0.0738055900604394,-0.232246276429654,NA
"36",10062,NA,NA,-0.320151839827689,-0.180509230280224,-0.0583719444753712,NA,NA
"37",10065,-0.443347562177163,NA,-0.0790113190274824,0.202872937785939,-1.15985139894046,0.0400986121442964,0.872622171397564
"38",10069,NA,NA,-0.375799652320044,0.257641818938248,-0.366786191725596,0.0400986121442964,NA
"39",10073,NA,NA,-0.320151839827689,0.184616644068503,-0.54302290444001,NA,NA
"40",10078,-0.0823813233503424,-0.535261873073925,-0.0419127773659122,0.0385662943290121,-0.895496329868838,0.0400986121442964,-1.12257019873451
"41",10079,NA,NA,-0.50564454813554,0.239385525220812,-1.02767386440465,-0.123308321000074,NA
"42",10083,-0.0823813233503424,NA,-0.245954756504549,0.458461049830047,1.04310750998972,-0.613529120433186,-0.149349667059227
"43",10085,-0.298961066646435,NA,-0.0233635065351271,0.239385525220812,-1.20391057711906,-0.395653209574025,-1.55772075185834
"44",10086,NA,NA,-0.0975605898582675,0.440204756112611,0.558456550025078,-0.232246276429654,NA
"45",10087,NA,NA,-0.190306944012193,NA,NA,-1.75737765244378,-0.371438953508317
"46",10089,1.00051739313012,NA,-0.46854600647397,0.111591469198757,-0.983614686226045,0.312443500718247,0.339969004710721
"47",10090,-1.88721251748444,-1.13814712648505,-0.0604620481966973,-0.217021817715096,0.0738055900604394,-0.885874009007137,-1.53063669253528
"48",10091,NA,NA,-0.227405485673763,0.166360350351066,-0.234608657189785,NA,NA
